	Name	Twitter_Tweets	Twitter_Following	Twitter_Followers	Twitter_Likes	Facebook_Likes	Facebook_Followers	Telegram_Members	Google_Search_Results
0.0	Vernam	176	68	16400	63	36288	37875	39 779	980
0.0	ZetoChain	123	80	22800	56	16170	17012	42 299	6100
0.0	Baanx	958	6254	8619	936	7240	7259	11 441	983000
0.0	Belotto	63	272	5497	41	7575	7705	7 034	209
0.0	CoVEX	353	12	3237	364	2545	2657	5 701	8
0.0	Curaizon	55	14	23	16	15	17	101	40900
0.0	Blockshipping GSCP	608	1551	10400	557	3782	3888	12 978	163000
0.0	Disciplina	235		2780		6206	6263	6 733	29700
0.0	PEP Network	501	4	2540	390	113222	113277	7 797	375000
0.0	Railz	158	53	18200	1247	6180	6369	19 366	35
0.0	FarmaTrust	2122	589	2990	421	3934	4053	9 290	89000
0.0	ROOMDAO	268	3382	15500	516	6773	7204	19 586	193000
0.0	CryptoAds	893	7684	35600	25	17825	17567	3 390	67500
0.0	Prontapay	75	545	14300	328	3366	3455	16 528	15900
0.0	AI Crypto	45	45	13700	42	14827	15594	25 333	2060000
0.0	BitNautic	117	137	7265	118	82219	82307	81 296	71800
0.0	GAGAPAY NETWORK	217	137	22900	280	8935	10119	31 990	152000
0.0	OFNOG	52	2	2610	16	4747	4810		42500
0.0	Kepler Technologies	180	4	33700	100	43511	44417	85 583	149000
0.0	SOFIN	150	3	1966	100	1324	1457	39 208	327
0.0	Acomobase	2	2	27				66	1120000
0.0	Blockchain Ventureon	1007	5394	6426	394	1158	1224	1 020	80800
0.0	CoinPayo	51	287	1436	28				74500
0.0	LIghtBitAtom	81	77	1045	3	4649	4741	7 330	1 result
0.0	Dafzo	109	1	3814	5	4028	4221	5 370	2840
0.0	Cryptohawk	34	17	3173	15	12096	12189	10 474	9460
0.0	Universe of Masters	42	15	1760	4	211	217	297	251000
0.0	Moneda	17	3	14100	243	2069	2163	19 070	195000
0.0	Fractal Token	63	2967	2090	36	263	283	2 263	122000
0.0	Borneo First	67	262	2128	82	2156	2186	4 787	141000
0.0	StoneToken					178	184	30	304000
0.0	PAVOCOIN	567	136	2708	46	1846	1911	59 765	105000
0.0	OSA DC	151	21	1102	21	18783	18821	13 334	27
0.0	SilkChain	1918	29	20000	186	80009	79896	97 327	84200
0.0	Zichain	244		5676	58	30420	30571	6 947	106
0.0	NWP Solution	309	924	3636	681	3462	3596	3 725	117000
0.0	Yumerium	325	4524	6997	79	3841	3934	19 414	116000
0.0	Arround	242	2009	3128	104	1186	1214		13400000
0.0	Cryptics	716	82	8766	414	6143	6573	20 057	458
0.0	MillionCoin	156	154	305	154	451	468	3 464	1410000
0.0	EthicHub	446	1243	11500	1060			13 841	46500
0.0	Paytomat	338	55	2162	1389	9488	9685	5 801	151000
0.0	EXMO Coin	2972	74	12900	267	14552	18981	2 595	8350
0.0	Bountie	391	134	2978	131	5214	5425	23 111	2450000
0.0	Plentix	423	412	6757	37	10669	10893	8 175	1230
0.0	IMIGIZE	58	2401	2664	29	1462	1481	1 597	40700
0.0	Sudan Gold Coin	193	164	3539	58			30 701	107000
0.0	UnitedFans	338	3444	5642	98	2499	2502	4 441	442000
0.0	MoneyByDesign	523	532	7208	242	117	125	275	907
0.0	OpenAssets							187	16800
0.0	Golden Currency	54	2063	6879	10	6310	6534	7 554	1370000
0.0	ECOS	189	192	275	165	1095	1107	2 478	358000
0.0	Rebons	30	85	1213	15	7	7	6	368000
0.0	monetha	421	62	19100	312	7768	8512		206000
0.0	Cryptopay	1240	1632	8820	348	14837	15570		405000
0.0	trackr					695	747		38700
0.0	TenX	1577	62	142000	1158	31420	35304		377000
0.0	Reality Clash	555	1002	5193	2035	45138	45153		20
0.0	Starta					1501	1640		5680
0.0	Bread	1		14		13	14		629
0.0	SynchroLife	243	1785	1957	510	405	453		37600
0.0	Electroneum	1153	208	127000	397	136628	152548		588000
0.0	Blocklancer	385	11	9035	207	21307	21714		135000
0.0	DENTALFIX	64	386	393	13				94300
0.0	Lampix	948	788	3407	982	5915	6122		175000
0.0	CombiCoin	56	39	2869	4	890	966		11900
0.0	Etch	725	2082	1663	713	208	247		2230
0.0	Soma	706	427	5563	404	3278	3425		210
0.0	stuffgogo	685	4811	3982	236	606	636		33500
0.0	HoToKeN	163	300	9657	198	53251	53376		17400
0.0	Horizonstate	575	15	10400	348	3460	3616		631
0.0	CoinDash	10		594		4829	5369		164000
0.0	NaPoleon X	2460	2802	5557	1254	7078	7207		77600
0.0	Hive Project	620	254	7733	225	2769	2903		322000
0.0	Centra	905	399	21200	1270	116969	117423		4760
0.0	PayperEx	810	105	3357	402	1680	1802		47900
0.0	ONZ Coin	414	2131	961	2084	6276	6315		132000
0.0	Acebusters	320	276	316	378	228	246		50800
0.0	Grant Hero	56	1201	817	89				146000
0.0	AML Bitcoin	1167	12400	8919	1868				367000
0.0	Umbrella Coin								170000
0.0	Signals	508	397	24300	519	18659	19744		586000
0.0	Peerity	153	105	1238	25	339	349		179000
0.0	Proof Suite								78
0.0	u.cash	1352	31200	36100	5878	223421	224297		1930000
0.0	etherparty	1	2	2		2288	2484		193000
0.0	Triforce Tokens	1063	701	4043	346	3311	3384		82800
0.0	EZMarket	32	5	172	3	149	160		370000
0.0	Tokenlab	2425	1607	28700	4620	30782	30795		12200
0.0	A-Token	33	19	79	44	67	70		6770000
0.0	Indorse	794	238	9072	426	10173	10341		499000
0.0	Hedge Token	612	693	3764	69	3183	3281		467000
0.0	Decentraland	569	179	37300	851	5560	5979		252000
0.0	BalehuBucks								82000
0.0	Dentacoin	867	487	18000	336	35365	36343		236000
0.0	Coinseed	317	124	1414	1292	2024	2107		122000
0.0	LoyalCoin	1949	2039	7081	1726	56551	57034		106000
0.0	VibeHub	419	2885	21300	258	1350	1519		29400
0.0	BullToken	280	24	472	183	23342	23417		12800
0.0	Kuna	259	51	1225	74	1596	2306		5150
0.0	FUJINTO	27	19	958	23				169000
0.0	tokenstub	12	1	793	502				2120
0.0	Jincor					1064	1161		159000
0.0	HAZZA	129	101	961	909				4750
0.0	Pecunio	391	252	18200	470				49
0.0	Cryptaur	1	45	32					108000
0.0	CryptoAlias	30	68	435	8				183000
0.0	HeartBout	88	5	2238	8				
0.0	KahnChat	68	3	4964	5				38100
0.0	Golden Fleece	257	865	634	188				247000
0.0	PayPie	205	1	7819					190000
0.0	VuePay	80	31	277	86				955
0.0	RootProject	324	344	3918	375				556000
0.0	Sandblock	156	54	12400	244				276000
0.0	Arcade City	430	2843	5236	1404				7300
0.0	Afterschool	7332	3256	3014	851				250000
0.0	EasyMINE	318	279	6744	55				32900
0.0	Protostarr	55	73	599	88				6400
0.0	Bookira	6		616	2				
0.0	Global ICO Fund	185	4766	2183	191				41200
0.0	Notary	50	22	2767	44				146000
0.0	Witcoin	162	812	362	171				
0.0	miBoodle	714	198	179	32				57600
0.0	Anacoin	472	1212	2491	451				311000
0.0	DOFT	28000	27	770	38				455000
0.0	Bill&Go	4	13	86	4				10 results
0.0	Intellium	67	15	150	10				40300
0.0	Target Coin	645	107	1636	155				1080000
0.0	tomahawkcoin								38600
0.0	HASH RUSH								1830
0.0	Mithril Ore	397	43	10700	1024				164000
0.0	DetectorToken	99	15	1197	25				18600
0.0	MCX	15	2	28					18500
0.0	VALUS								3420000
0.0	Techspecs	90	5	11800	1				39400
0.0	SRCoin	76	49	839	477				171000
0.0	Tokenza	36	61	4334					6360000
0.0	Vote Coin	25	9	1658	4				544000
0.0	WesterosToken								451000
0.0	TOR-Q-ALL								39400
0.0	TRIPBIT	138	20	601	42				12500
0.0	Crypto N’ Kafe	416	2	832	1				232000
0.0	AMPLE!	4422	3054	10300	243				247000
0.0	Sooloox	54	6	71					897
0.0	PriorityEx	65	4710	2724					253000
0.0	STASH	120	29	3594	5				412000
0.0	SmartBillions	53	849	1775	31				53200
0.0	StayAllied	17	495	164	3				1180
0.0	Relest	49	25	2887	6				1 result
0.0	Bond	865	1411	697	44				394000
0.0	AQUA Rights	85	1155	291	113				160000
0.0	Ziber	96	320	96	2				413000
0.0	COINANX	44	1	13500	13				8470000
0.0	RICH Coin								496000
0.0	Cryptectum	86	42	1226	75				205000
0.0	Coinless	97	479	104	502				53400
0.0	BioPayCoin	14	1710	256					9090000
0.0	Sportience								2000
0.0	Biafracoin	30	74	35	10				94100
0.0	Talenter	2279	22600	20700	2134				402000
0.0	Shivers	77	36	242	25				326000
0.0	World peace coin	6	47	11					40800
0.0	LuckyToken	199		155					431000
0.0	REcoin								1230
0.0	Minery	54	6	695	40				4290000
0.0	CoinAdvisor	63	184	3186	27				53100
0.0	CVerification	45	40	106	4				186000
0.0	VectorZilla	149	29	889	9				5180
0.0	AraneoBIT	151	258	335	93				
0.0	Eristica	2950	18	4074	1151				49700
0.0	LIQUID								306000
0.0	Viuly	277	199	6204	325			6 413	207000
0.0	AirToken	456	206	5662	229				161000
0.0	Datawallet	407	47	5661	928			5 978	150000
0.0	Po.et	881	46	33300	557				1200
0.0	Modum	541	187	14600	403				207000
0.0	Swarm.fund	368	1821	8257	1600			3 817	157
0.0	Rockchain								8830000
0.0	Hearthy	49	970	1412	12				55200
0.0	BlockCAT	878	135	7917	641				165000
0.0	Spheris	87	175	1275	3			127	387000
0.0	ANONYM							236	503000
0.0	Populous	588	37	23700	52			1 283	236000
0.0	Quantstamp								235000
0.0	WOLK	178	903	751	478				28
0.0	Transmission	58	3	1453	4			186	199000
0.0	GoNetwork	73	67	50000	169			64 124	75300
0.0	Kyber.Network	1223	547	87300	1620			11 672	192000
0.0	Stox	796	109	14500	2180			14 909	533
0.0	TEND	1837	931	3536	1169			1 291	226000
0.0	Dragonchain	1983	20	76600	3000				253000
0.0	PROPS	234	295	6790	240			6 586	639
0.0	Medicalchain							26 110	170000
0.0	KNOWS								17300000
0.0	TrustedHealth	14600	4604	11600	248			8 518	77800
0.0	Windingtree	747	489	5000	608			6 592	6
0.0	Caviar	375	382	3093	410			2 174	78900
0.0	Librium	13	180	908	1			674	51900
0.0	Wireline	1065	2211	5448	1708			2 749	19
0.0	Aventus								171000
0.0	Planes Cloud	5		30				28	6140
0.0	Peerbanks	43	30	1070	84			53	5010
0.0	Leverj	272	2857	5259	3518			3 482	183000
0.0	Narrative	583	1524	3094	452			3 949	135000
0.0	Ethorse	154	179	1315	258			2 298	126000
0.0	Sentinel Chain	432	1124	4086	1786			8 689	19400
0.0	Prosume	380	390	1744	259			164	34100
0.0	Stampify	152	302	144	204				28600
0.0	Pluscoin	181	122	1469	223			1 628	179000
0.0	Empire Card	2		36					206000
0.0	New Royals							16	301000
0.0	Fresco	751	623	87100	691			120 199	22
0.0	TensorBit	17	52	198	5				2550
0.0	Exxor	195	283	361	6				8
0.0	DeCoin	8		107	2			70	2550
0.0	Customizable Basic Income	95	61	95	130				97600
0.0	Redpillcoin	155	179	5085	50				216000
0.0	Crowdstart Capital								84800
0.0	CCCoin								8790000
0.0	imperium	1	70	9	1				112000
0.0	Bhotspot								84000
0.0	BTCWALL	13	1	19					449000
0.0	Zupply	161	718	1595	82			380	1450000
0.0	BeonBOX	69	3639	1335	269			8	1040
0.0	GIZA Device							46	1150000
0.0	SpringRole	1332	804	2323	464			59 365	151000
0.0	Clears	65	40	6786	29			12 095	1020000
0.0	EtherInc	154		9655	89			29 489	880000
0.0	HONOR							36	92
0.0	Storiqa							34 531	188000
0.0	Florio							420	71
0.0	kevin.							174	317000
0.0	FinTab							578	233000
0.0	Wowoo							8 211	659
0.0	HireMatch								145000
0.0	Galactikka							246	2380
0.0	SIX Network							6 675	433000
0.0	AAA coin								107000
0.0	Quantum1Net								10 results
0.0	xplay								204
0.0	Scrypto								45900000
0.0	DigiPulse								183000
0.0	Altocar							449	1
0.0	CryptoCopy								13300
0.0	Aditus							12 747	107000
0.0	OpenPoll							41 611	1950
0.0	BitCoen								9680000
0.0	KredX								2300
0.0	SunMoney							5 946	52000
0.0	Chain ID								1290
0.0	NWA								15300000
0.0	redBUX							4 491	289000
0.0	Yield Coin							1 471	257000
0.0	Esonics							70	127000
0.0	MultiGames								144000
0.0	Natcoin								9680000
0.0	FoodCoin EcoSystem							66	541000
0.0	Sun Multiwallet								242000
0.0	Sapphire Coin								483000
0.0	CryptalDash							12 040	103000
0.0	Arbi								365000
0.0	HealthHeart								316000
0.0	Pentacore							14	10 results
0.0	Saske								7
0.0	Ethlottery							80	2 results
0.0	Soferox								86100
0.0	TewTew								22800000
0.0	Dolos								88900
0.0	SOSR							162	5980000
0.0	Xaurum Gamma								74400
0.0	Sexservice								
0.0	Privelege Coin								175000
0.0	HIU Token								441000
0.0	Intro							23 795	223000
0.0	Smart Valley							9 680	1160
